Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
2001,27,SEA,AL,157,738,692,127,242,34,8,8,69,56,14,30,53,.350,.381,.457,.838,126,316,3,8,4,4,10
2002,28,SEA,AL,157,728,647,111,208,27,8,8,51,31,15,68,62,.321,.388,.425,.813,120,275,8,5,3,5,27
2003,29,SEA,AL,159,725,679,111,212,29,8,13,62,34,8,36,69,.312,.352,.436,.788,112,296,3,6,3,1,7
2004,30,SEA,AL,161,762,704,101,262,24,5,8,60,36,11,49,63,.372,.414,.455,.869,130,320,6,4,2,3,19
2005,31,SEA,AL,162,739,679,111,206,21,12,15,68,33,8,48,66,.303,.350,.436,.786,113,296,5,4,2,6,23
2006,32,SEA,AL,161,752,695,110,224,20,9,9,49,45,2,49,71,.322,.370,.416,.786,106,289,2,5,1,2,16
2007,33,SEA,AL,161,736,678,111,238,22,7,6,68,37,8,49,77,.351,.396,.431,.827,122,292,7,3,4,2,13
2008,34,SEA,AL,162,749,686,103,213,20,7,6,42,43,4,51,65,.310,.361,.386,.747,102,265,8,5,3,4,12
2009,35,SEA,AL,146,678,639,88,225,31,4,11,46,26,9,32,71,.352,.386,.465,.851,129,297,1,4,2,1,15
2010,36,SEA,AL,162,732,680,74,214,30,3,6,43,42,9,45,86,.315,.359,.394,.754,113,268,3,3,3,1,13
2011,37,SEA,AL,161,721,677,80,184,22,3,5,47,40,7,39,69,.272,.310,.335,.645,86,227,11,0,1,4,13
2012,38,TOT,AL,162,663,629,77,178,28,6,9,55,29,7,22,61,.283,.307,.390,.696,93,245,12,2,5,5,5
2012,38,SEA,AL,95,423,402,49,105,15,5,4,28,15,2,17,40,.261,.288,.353,.642,82,142,10,0,0,4,4
2012,38,NYY,AL,67,240,227,28,73,13,1,5,27,14,5,5,21,.322,.340,.454,.794,113,103,2,2,5,1,1
2013,39,NYY,AL,150,555,520,57,136,15,3,7,35,20,4,26,63,.262,.297,.342,.639,77,178,6,1,6,2,4
2014,40,NYY,AL,143,385,359,42,102,13,2,1,22,15,3,21,68,.284,.324,.340,.664,89,122,3,1,2,2,1
2015,41,MIA,NL,153,438,398,45,91,5,6,1,21,11,5,31,51,.229,.282,.279,.561,58,111,8,0,5,4,1
2016,42,MIA,NL,143,365,327,48,95,15,5,1,22,10,2,30,42,.291,.354,.376,.730,102,123,4,3,3,2,1
2017,43,MIA,NL,136,215,196,19,50,6,0,3,20,1,1,17,35,.255,.318,.332,.649,79,65,2,1,1,0,1
2018,44,SEA,AL,15,47,44,5,9,0,0,0,0,0,0,3,7,.205,.255,.205,.460,33,9,0,0,0,0,0
2019,45,SEA,AL,2,6,5,0,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,-47,0,0,0,0,0,0
