filename,label,title,creator,license,license_url,source_url,original_url,original_width,original_height,output_width,output_height,sha256
marmot/marmot_001.jpg,marmot,File:Groundhog at February's End.jpg,Ladycamera,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Groundhog_at_February%27s_End.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Groundhog_at_February%27s_End.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,5184,3888,224,224,6044a5ac75fb8eef95bd2ec036c309cd24f5fcf9dc8b1a0cbcaaee6e65b8633c
marmot/marmot_002.jpg,marmot,"File:Marmot at Balu Pass, Glacier National Park, Canada (54881286895).jpg","Christoph Strässler from Oberdorf BL, Schweiz",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Marmot_at_Balu_Pass,_Glacier_National_Park,_Canada_(54881286895).jpg",https://upload.wikimedia.org/wikipedia/commons/1/11/Marmot_at_Balu_Pass%2C_Glacier_National_Park%2C_Canada_%2854881286895%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,1921,1081,224,224,ec3bd39131b52b2d5210be59f9acf4f18ab26d8a5096fd76b74efcd40326fac6
marmot/marmot_003.jpg,marmot,File:Marmota caligata 261093649 (cropped).jpg,Darren Obbard,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Marmota_caligata_261093649_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Marmota_caligata_261093649_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,1465,1003,224,224,6394c30cb7639c3e04a9a8411acef708a02e33bdc33b69f1898ea8c6d7d63594
marmot/marmot_004.jpg,marmot,"File:Marmotta alpina, Marmota marmota (Linnaeus, 1758).jpg",Estebandh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Marmotta_alpina,_Marmota_marmota_(Linnaeus,_1758).jpg",https://upload.wikimedia.org/wikipedia/commons/4/4a/Marmotta_alpina%2C_Marmota_marmota_%28Linnaeus%2C_1758%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,4272,2848,224,224,073a2b4822a9183c98cb3a61dfd61dc081bfa25146284edbe6707b7005fc4ba9
marmot/marmot_005.jpg,marmot,File:Hoary Marmot on Marmot Rock (7205000820).jpg,"Forest Service Northern Region from Missoula, MT, USA",Public domain,,https://commons.wikimedia.org/wiki/File:Hoary_Marmot_on_Marmot_Rock_(7205000820).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Hoary_Marmot_on_Marmot_Rock_%287205000820%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,640,480,224,224,5bee8d43a807473bf6379f0621940307c215c0ccb34779b229521c280edc796a
marmot/marmot_006.jpg,marmot,File:Hoary marmot lying in grass - DPLA - fdd899e458c6fdd42b9f7f1f8d125eeb.jpg,"Garst, Warren, 1922-2016, photographer",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Hoary_marmot_lying_in_grass_-_DPLA_-_fdd899e458c6fdd42b9f7f1f8d125eeb.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Hoary_marmot_lying_in_grass_-_DPLA_-_fdd899e458c6fdd42b9f7f1f8d125eeb.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,1590,1048,224,224,fca18a5415bf4d12e8b38fd69ab807ebeb50b81f2b91ea55896452a8e96a5d00
marmot/marmot_007.jpg,marmot,"File:Hoary marmot, Marmota caligata - Flickr - GregTheBusker (1).jpg","Greg Schechter from San Francisco, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:Hoary_marmot,_Marmota_caligata_-_Flickr_-_GregTheBusker_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/a/a6/Hoary_marmot%2C_Marmota_caligata_-_Flickr_-_GregTheBusker_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,3072,2304,224,224,c182fe77dff5c29d39c3fcc8d8e290dc6a5041f0f6fc723508642e1845cc4918
marmot/marmot_008.jpg,marmot,File:Hoary Marmot (Marmota caligata) in Logan Pass - Flickr - Jay Sturner.jpg,Jay Sturner from USA,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Hoary_Marmot_(Marmota_caligata)_in_Logan_Pass_-_Flickr_-_Jay_Sturner.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Hoary_Marmot_%28Marmota_caligata%29_in_Logan_Pass_-_Flickr_-_Jay_Sturner.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,700,634,224,224,065c0b5335c58d448b8ea9f96c4ac3a470adecb8ba37665540f148f273a1aea9
marmot/marmot_009.jpg,marmot,File:Marmotte au Col d'Anterne.jpg,Laurent Vriez,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Marmotte_au_Col_d%27Anterne.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Marmotte_au_Col_d%27Anterne.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,578,426,224,224,6417ca306692ccb98114b9c00a83e161e8cb331fd3fb4b060db4c72408c18b8c
marmot/marmot_010.jpg,marmot,File:Photo Marmotte.jpg,Lorapel,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Photo_Marmotte.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Photo_Marmotte.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,1128,2048,224,224,512313032da3f6aaa342e644237033d15c0e22dac39a5add32266ed87e9750ea
